year,avg_temp
1832,23.83
1833,24.60
1834,24.25
1835,23.51
1836,23.84
1837,23.44
1838,23.67
1839,23.65
1840,24.08
1841,23.86
1842,24.27
1843,24.39
1844,
1845,
1846,
1847,
1848,
1849,
1850,
1851,24.34
1852,24.38
1853,24.38
1854,24.51
1855,24.57
1856,23.86
1857,24.00
1858,23.77
1859,24.19
1860,24.48
1861,23.98
1862,23.75
1863,24.08
1864,23.99
1865,23.99
1866,24.15
1867,24.38
1868,24.67
1869,24.80
1870,24.65
1871,24.48
1872,24.40
1873,24.63
1874,24.43
1875,23.90
1876,24.06
1877,24.60
1878,25.16
1879,24.07
1880,24.62
1881,24.27
1882,23.95
1883,24.00
1884,23.77
1885,24.37
1886,23.99
1887,24.24
1888,24.46
1889,24.76
1890,24.23
1891,24.27
1892,24.22
1893,23.90
1894,24.45
1895,24.16
1896,24.25
1897,24.11
1898,24.54
1899,24.17
1900,24.66
1901,24.37
1902,24.64
1903,24.59
1904,23.85
1905,24.64
1906,24.33
1907,24.39
1908,24.86
1909,24.56
1910,24.45
1911,24.50
1912,24.51
1913,24.69
1914,24.38
1915,24.72
1916,24.23
1917,23.97
1918,24.20
1919,24.42
1920,24.40
1921,24.35
1922,24.61
1923,24.56
1924,24.45
1925,24.57
1926,24.67
1927,24.84
1928,24.75
1929,24.69
1930,24.54
1931,24.73
1932,24.81
1933,24.44
1934,24.59
1935,24.91
1936,24.65
1937,24.89
1938,24.93
1939,24.98
1940,24.84
1941,25.00
1942,24.82
1943,24.25
1944,24.39
1945,24.52
1946,24.99
1947,24.74
1948,24.69
1949,24.60
1950,24.56
1951,24.63
1952,25.06
1953,24.87
1954,24.78
1955,24.62
1956,24.66
1957,24.68
1958,25.15
1959,25.32
1960,24.97
1961,24.88
1962,24.74
1963,24.86
1964,24.67
1965,24.91
1966,24.79
1967,24.77
1968,24.23
1969,25.03
1970,24.86
1971,24.94
1972,25.26
1973,25.66
1974,24.81
1975,24.75
1976,24.84
1977,25.05
1978,24.73
1979,24.77
1980,24.92
1981,24.71
1982,25.05
1983,25.36
1984,25.40
1985,24.88
1986,25.06
1987,25.66
1988,25.18
1989,25.10
1990,25.29
1991,25.06
1992,24.97
1993,25.41
1994,25.42
1995,25.65
1996,25.45
1997,25.20
1998,26.08
1999,25.32
2000,25.35
2001,25.59
2002,25.56
2003,25.68
2004,25.37
2005,25.70
2006,25.41
2007,25.44
2008,25.54
2009,26.00
2010,25.78
2011,25.28
2012,25.65
2013,26.14
